utvi_rank,bairro_nome,bairro_nome_title,utvi_exploratory,utvi_class,quality_flag,LST_C_median_mean,LST_C_p75_mean,pct_urbana_land,NDVI_median_mean,NDBI_median_mean,pct_lst_valid_land
1,NAVEGANTES,Navegantes,0.9345028526030876,muito alta,ok,38.915828030818105,42.73010095296113,100.0,0.2241043043093612,0.0555734084099025,100.0
2,FARRAPOS,Farrapos,0.9221579596018359,muito alta,ok,40.67903249738917,44.25897234565211,97.02911607911535,0.3193464923107604,-0.0096987147276515,100.0
3,SÃO GERALDO,São Geraldo,0.9132035578279443,muito alta,ok,38.41906723021256,41.334576747806935,100.0,0.2275610043218275,0.0787495538172841,94.92177934356296
4,FLORESTA,Floresta,0.8962616204807713,muito alta,ok,38.30438084471064,41.56523732770916,100.0,0.2450461739925267,0.050733803798619,100.0
5,SANTA MARIA GORETTI,Santa Maria Goretti,0.8892672424755135,muito alta,ok,39.26173995742106,41.75476118727436,100.0,0.3042659029316918,0.0354106718487753,80.63618438831438
6,SÃO JOÃO,São João,0.8779394051350498,muito alta,caution_low_lst_valid,38.62075822297123,41.17561213472235,100.0,0.2709756906278033,0.0300113166066321,74.94810573014561
7,CRISTO REDENTOR,Cristo Redentor,0.8602105231136286,muito alta,ok,38.879139108615625,41.68897516930234,100.0,0.3298959544978551,0.0075774989489253,91.67920041734348
8,VILA JOÃO PESSOA,Vila João Pessoa,0.8575329210448445,muito alta,ok,39.11162508152961,41.25087278379726,100.0,0.3555052696691681,0.027226692915699,99.52841258896449
9,SÃO SEBASTIÃO,São Sebastião,0.8542705273031231,muito alta,caution_low_lst_valid,38.90949161819597,41.909690993524016,100.0,0.3343901485897643,-0.0112753457966431,77.09923861752583
10,CIDADE BAIXA,Cidade Baixa,0.8516488500941364,muito alta,ok,37.88985698902621,40.109578678656064,100.0,0.271512488022151,0.0377648747953903,100.0
11,PASSO DA AREIA,Passo Da Areia,0.8454300865314641,muito alta,ok,39.034642063843776,41.3219725447365,100.0,0.3490211996076203,-0.0046217212799357,100.0
12,SANTANA,Santana,0.8431699966118575,muito alta,ok,38.24915326516487,40.569031820603286,100.0,0.3072959146103801,0.0158995347235648,100.0
13,BOM FIM,Bom Fim,0.8406893767232633,muito alta,ok,37.49583965261786,40.17031846608622,100.0,0.2776171565553778,0.0317630548580934,100.0
14,AZENHA,Azenha,0.8282826863664841,muito alta,ok,38.4460870239917,40.71017021325167,100.0,0.3390737161210261,-0.0059412800762977,91.39967851673924
15,VILA IPIRANGA,Vila Ipiranga,0.8218283884439481,muito alta,ok,38.499898043506334,41.3890753327489,100.0,0.3794586064500277,-0.0146670231276094,97.33400513223238
16,CENTRO HISTÓRICO,Centro Histórico,0.8150747454050242,muito alta,ok,36.398000804962,38.63557597373132,100.0,0.2342525881245912,0.03794663734746,99.57393613181632
17,INDEPENDÊNCIA,Independência,0.812694070176649,muito alta,ok,37.104436480835226,39.86616399622815,100.0,0.2881131529991593,0.003097040018201,100.0
18,MENINO DEUS,Menino Deus,0.8053515828812305,muito alta,ok,37.88497215970983,39.94847418188173,100.0,0.3373545318474569,-0.0098606726730174,100.0
19,BOM JESUS,Bom Jesus,0.8045888410758802,muito alta,ok,38.248281116652805,40.48915289312971,100.0,0.3887070980536396,-0.0049910349446413,100.0
20,MEDIANEIRA,Medianeira,0.8044654346662259,muito alta,ok,37.86097686858746,40.675662433391565,100.0,0.3733473831735092,-0.0078754183872787,98.71500866848098
